iter	MultiClass
292	0.2409968678
293	0.2400727468
294	0.2393634382
295	0.2388480003
296	0.2382264277
297	0.2375731018
298	0.2368904127
299	0.2362483957
300	0.2358580337
301	0.2352265105
302	0.2349800668
303	0.2340171937
304	0.2336515767
305	0.2328231673
306	0.2324653666
307	0.2320070686
308	0.2311406777
309	0.2307611065
310	0.2299890326
311	0.2290044472
312	0.2283792794
313	0.2278646573
314	0.2272108066
315	0.2265462933
316	0.2261302452
317	0.2257771607
318	0.2253641166
319	0.2248585705
320	0.2240398017
321	0.2234005878
322	0.2227528735
323	0.2222713914
324	0.2218995322
325	0.2214450804
326	0.2209291897
327	0.2201382072
328	0.2195685106
329	0.2189437109
330	0.2186574724
331	0.2179570641
332	0.216862168
333	0.2163711719
334	0.2159185924
335	0.2153620554
336	0.2149362012
337	0.2147087936
338	0.2144110119
339	0.2139930132
340	0.2137807009
341	0.213168179
342	0.2127148064
343	0.2123484812
344	0.2116297971
345	0.2112625225
346	0.2107236838
347	0.210196302
348	0.2094300653
349	0.2089675586
350	0.2088047202
351	0.2084862223
352	0.2078741369
353	0.207260178
354	0.206709283
355	0.2063153187
356	0.2056176405
357	0.2053923224
358	0.2047010646
359	0.2044086708
360	0.2041281003
361	0.2037704198
362	0.2030588398
363	0.2027635424
364	0.202105318
365	0.2015143779
366	0.2008779986
367	0.2006046834
368	0.200207905
369	0.1999005658
370	0.1995109121
371	0.1992144635
372	0.1987916063
373	0.1984811352
374	0.1979350946
375	0.1976660735
376	0.1971814271
377	0.1965485936
378	0.1960208912
379	0.1957202402
380	0.195447143
381	0.1949790887
382	0.1945366637
383	0.1939667458
384	0.1935929006
385	0.1929745811
386	0.1924880499
387	0.1921087697
388	0.1916255953
389	0.1912734245
390	0.1908311752
391	0.1901674769
392	0.1898131556
393	0.1891563189
394	0.1887087677
395	0.1884283731
396	0.188216827
397	0.1874943082
398	0.1867512035
399	0.186258484
